screenshot_id,heuristic,n_passes,mean_score,sd_score,scores
1_initial_load,visibility_of_system_status,3,5.0,0.0,"[5, 5, 5]"
1_initial_load,match_real_world,3,4.0,0.0,"[4, 4, 4]"
1_initial_load,user_control_freedom,3,4.0,0.0,"[4, 4, 4]"
1_initial_load,consistency_standards,3,5.0,0.0,"[5, 5, 5]"
1_initial_load,error_prevention,3,4.0,0.0,"[4, 4, 4]"
1_initial_load,recognition_not_recall,3,4.0,0.0,"[4, 4, 4]"
1_initial_load,flexibility_efficiency,3,5.0,0.0,"[5, 5, 5]"
1_initial_load,aesthetic_minimalist,3,5.0,0.0,"[5, 5, 5]"
1_initial_load,error_recovery,3,3.0,0.0,"[3, 3, 3]"
1_initial_load,help_documentation,3,3.0,0.0,"[3, 3, 3]"
2_filtered_search,visibility_of_system_status,3,5.0,0.0,"[5, 5, 5]"
2_filtered_search,match_real_world,3,4.0,0.0,"[4, 4, 4]"
2_filtered_search,user_control_freedom,3,5.0,0.0,"[5, 5, 5]"
2_filtered_search,consistency_standards,3,5.0,0.0,"[5, 5, 5]"
2_filtered_search,error_prevention,3,4.0,0.0,"[4, 4, 4]"
2_filtered_search,recognition_not_recall,3,4.0,0.0,"[4, 4, 4]"
2_filtered_search,flexibility_efficiency,3,5.0,0.0,"[5, 5, 5]"
2_filtered_search,aesthetic_minimalist,3,5.0,0.0,"[5, 5, 5]"
2_filtered_search,error_recovery,3,3.0,0.0,"[3, 3, 3]"
2_filtered_search,help_documentation,3,3.0,0.0,"[3, 3, 3]"
3_explain_summary,visibility_of_system_status,3,4.0,0.0,"[4, 4, 4]"
3_explain_summary,match_real_world,3,5.0,0.0,"[5, 5, 5]"
3_explain_summary,user_control_freedom,3,4.0,0.0,"[4, 4, 4]"
3_explain_summary,consistency_standards,3,5.0,0.0,"[5, 5, 5]"
3_explain_summary,error_prevention,3,3.0,0.0,"[3, 3, 3]"
3_explain_summary,recognition_not_recall,3,5.0,0.0,"[5, 5, 5]"
3_explain_summary,flexibility_efficiency,3,3.0,0.0,"[3, 3, 3]"
3_explain_summary,aesthetic_minimalist,3,5.0,0.0,"[5, 5, 5]"
3_explain_summary,error_recovery,3,3.0,0.0,"[3, 3, 3]"
3_explain_summary,help_documentation,3,4.0,0.0,"[4, 4, 4]"
4_raw_nvd_toggle,visibility_of_system_status,3,5.0,0.0,"[5, 5, 5]"
4_raw_nvd_toggle,match_real_world,3,4.0,0.0,"[4, 4, 4]"
4_raw_nvd_toggle,user_control_freedom,3,5.0,0.0,"[5, 5, 5]"
4_raw_nvd_toggle,consistency_standards,3,5.0,0.0,"[5, 5, 5]"
4_raw_nvd_toggle,error_prevention,3,3.0,0.0,"[3, 3, 3]"
4_raw_nvd_toggle,recognition_not_recall,3,4.0,0.0,"[4, 4, 4]"
4_raw_nvd_toggle,flexibility_efficiency,3,3.0,0.0,"[3, 3, 3]"
4_raw_nvd_toggle,aesthetic_minimalist,3,5.0,0.0,"[5, 5, 5]"
4_raw_nvd_toggle,error_recovery,3,3.0,0.0,"[3, 3, 3]"
4_raw_nvd_toggle,help_documentation,3,3.0,0.0,"[3, 3, 3]"
5_all_expanded,visibility_of_system_status,3,5.0,0.0,"[5, 5, 5]"
5_all_expanded,match_real_world,3,4.0,0.0,"[4, 4, 4]"
5_all_expanded,user_control_freedom,3,5.0,0.0,"[5, 5, 5]"
5_all_expanded,consistency_standards,3,5.0,0.0,"[5, 5, 5]"
5_all_expanded,error_prevention,3,3.0,0.0,"[3, 3, 3]"
5_all_expanded,recognition_not_recall,3,4.0,0.0,"[4, 4, 4]"
5_all_expanded,flexibility_efficiency,3,3.0,0.0,"[3, 3, 3]"
5_all_expanded,aesthetic_minimalist,3,4.0,0.0,"[4, 4, 4]"
5_all_expanded,error_recovery,3,3.0,0.0,"[3, 3, 3]"
5_all_expanded,help_documentation,3,3.0,0.0,"[3, 3, 3]"
6_empty_state,visibility_of_system_status,3,5.0,0.0,"[5, 5, 5]"
6_empty_state,match_real_world,3,5.0,0.0,"[5, 5, 5]"
6_empty_state,user_control_freedom,3,5.0,0.0,"[5, 5, 5]"
6_empty_state,consistency_standards,3,5.0,0.0,"[5, 5, 5]"
6_empty_state,error_prevention,3,4.0,0.0,"[4, 4, 4]"
6_empty_state,recognition_not_recall,3,4.0,0.0,"[4, 4, 4]"
6_empty_state,flexibility_efficiency,3,5.0,0.0,"[5, 5, 5]"
6_empty_state,aesthetic_minimalist,3,5.0,0.0,"[5, 5, 5]"
6_empty_state,error_recovery,3,5.0,0.0,"[5, 5, 5]"
6_empty_state,help_documentation,3,3.0,0.0,"[3, 3, 3]"
